Date,Open,High,Low,Close,Close Change %,Volume,Weekday,High % Above Open,
"Thursday, January 05, 2023","3,840.09","3,840.09","3,802.42","3,808.10",-1.16%,"2,259,316,692",Thursday,0,
"Wednesday, January 04, 2023","3,842.21","3,873.16","3,815.77","3,852.97",0.75%,"2,595,164,544",Wednesday,0.805525986,
"Tuesday, January 03, 2023","3,854.97","3,878.46","3,794.33","3,824.14",-0.40%,"2,353,396,979",Tuesday,0.609343263,
"Friday, December 30, 2022","3,828.85","3,839.85","3,800.34","3,839.50",-0.25%,"1,706,136,061",Friday,0.287292529,
"Thursday, December 29, 2022","3,805.40","3,858.19","3,805.40","3,849.28",1.75%,"1,735,156,616",Thursday,1.387239186,
"Wednesday, December 28, 2022","3,829.34","3,848.32","3,780.78","3,783.22",-1.20%,"1,740,055,216",Wednesday,0.495646769,
"Tuesday, December 27, 2022","3,843.22","3,846.65","3,813.22","3,829.25",-0.40%,"1,744,900,168",Tuesday,0.089248078,
"Friday, December 23, 2022","3,813.11","3,845.80","3,797.01","3,844.82",0.59%,"1,579,126,770",Friday,0.857305454,
"Thursday, December 22, 2022","3,853.25","3,853.26","3,764.49","3,822.39",-1.45%,"2,365,338,674",Thursday,0.000259521,
"Wednesday, December 21, 2022","3,841.16","3,889.82","3,839.49","3,878.44",1.49%,"2,148,847,365",Wednesday,1.266804819,
"Tuesday, December 20, 2022","3,810.37","3,838.24","3,795.62","3,821.62",0.10%,"2,209,956,558",Tuesday,0.731425032,
"Monday, December 19, 2022","3,853.69","3,854.86","3,800.04","3,817.66",-0.90%,"2,275,928,522",Monday,0.030360512,
"Friday, December 16, 2022","3,891.56","3,891.56","3,827.91","3,852.36",-1.11%,"4,969,069,165",Friday,0,
"Thursday, December 15, 2022","3,958.25","3,958.37","3,879.45","3,895.75",-2.49%,"2,686,596,630",Thursday,0.003031643,
"Wednesday, December 14, 2022","4,015.41","4,053.76","3,965.65","3,995.32",-0.61%,"2,571,635,241",Wednesday,0.955070591,
"Tuesday, December 13, 2022","4,068.88","4,100.96","3,993.03","4,019.65",0.73%,"3,069,418,836",Tuesday,0.78842335,
"Monday, December 12, 2022","3,939.55","3,990.71","3,935.30","3,990.56",1.43%,"2,228,031,375",Monday,1.298625478,
"Friday, December 09, 2022","3,953.93","3,977.02","3,933.04","3,934.38",-0.73%,"2,085,157,074",Friday,0.583975943,
"Thursday, December 08, 2022","3,947.89","3,974.19","3,935.83","3,963.51",0.75%,"2,147,755,920",Thursday,0.666178642,
"Wednesday, December 07, 2022","3,933.55","3,957.57","3,922.68","3,933.92",-0.19%,"2,238,272,050",Wednesday,0.610644329,
"Tuesday, December 06, 2022","3,997.16","4,001.51","3,918.39","3,941.26",-1.44%,"2,356,446,479",Tuesday,0.108827267,
"Monday, December 05, 2022","4,051.95","4,052.45","3,984.49","3,998.84",-1.79%,"2,254,038,321",Monday,0.012339738,
"Friday, December 02, 2022","4,039.72","4,080.48","4,026.63","4,071.70",-0.12%,"2,062,179,584",Friday,1.00898082,
"Thursday, December 01, 2022","4,086.88","4,100.51","4,050.87","4,076.57",-0.09%,"2,311,338,313",Thursday,0.333506244,
"Wednesday, November 30, 2022","3,957.64","4,080.11","3,938.58","4,080.11",3.09%,"3,585,186,223",Wednesday,3.094520977,
"Tuesday, November 29, 2022","3,963.63","3,976.77","3,937.65","3,957.63",-0.16%,"1,895,192,533",Tuesday,0.331514294,
"Monday, November 28, 2022","4,005.59","4,012.27","3,955.77","3,963.94",-1.54%,"2,084,609,885",Monday,0.166766943,
"Friday, November 25, 2022","4,023.55","4,034.02","4,020.76","4,026.12",-0.03%,"901,142,675",Friday,0.260217967,
"Wednesday, November 23, 2022","4,001.02","4,033.78","3,998.66","4,027.26",0.59%,"1,753,877,149",Wednesday,0.818791208,
"Tuesday, November 22, 2022","3,965.15","4,005.88","3,956.88","4,003.58",1.36%,"1,987,305,076",Tuesday,1.027199475,
"Monday, November 21, 2022","3,956.45","3,962.00","3,933.34","3,949.94",-0.39%,"2,113,922,792",Monday,0.140277269,
"Friday, November 18, 2022","3,967.68","3,979.89","3,935.98","3,965.34",0.48%,"2,225,021,521",Friday,0.307736511,
"Thursday, November 17, 2022","3,918.39","3,954.33","3,906.54","3,946.56",-0.31%,"2,183,972,786",Thursday,0.917213447,
"Wednesday, November 16, 2022","3,976.32","3,983.09","3,954.34","3,958.79",-0.83%,"2,377,496,084",Wednesday,0.170257927,
"Tuesday, November 15, 2022","4,007.26","4,028.84","3,953.17","3,991.73",0.87%,"2,774,058,505",Tuesday,0.538522582,
"Monday, November 14, 2022","3,977.28","4,008.97","3,956.40","3,957.25",-0.89%,"2,580,342,143",Monday,0.796775686,
"Friday, November 11, 2022","3,963.33","4,001.48","3,944.82","3,992.93",0.92%,"3,019,518,834",Friday,0.962574401,
"Thursday, November 10, 2022","3,859.74","3,958.33","3,859.74","3,956.37",5.54%,"3,329,380,361",Thursday,2.55431713,
